/pscratch/sd/e/es_lh/nanoGPT/DP/train_logger.py:212: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with /pscratch/sd/e/es_lh/nanoGPT/config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
block_size = 256 # context of up to 256 previous characters
gradient_accumulation_steps = 4 # 1 gpu: 1 # 1 node: 4 # 2 nodes: 8
batch_size = 16 # 1 gpu: 64 # 1 node: 16 # 2 nodes: 8

# baby GPT model :)
n_layer = 6
n_head =8 # to make it balance with tp
n_embd = 512
dropout = 0.2

learning_rate = 1e-4 # with baby networks can afford to go a bit higher # 1e-3 initially
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-5 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

model_parallel = 4
tensor_parallel = 4

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 18.91M
num decayed parameter tensors: 26, with 19,038,720 parameters
num non-decayed parameter tensors: 13, with 6,656 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
[RunLogger] Model params: 19,045,376 (19.05 M), weights ~ 0.071 GB, full train state ~ 0.284 GB (theoretical)
step 0: train loss 4.3541, val loss 4.3562
iter 0: loss 4.3411, time 38287.97ms, mfu -100.00%
iter 10: loss 3.5315, time 23.03ms, mfu 28.03%
iter 20: loss 3.2053, time 23.68ms, mfu 27.96%
iter 30: loss 2.8850, time 24.30ms, mfu 27.82%
iter 40: loss 2.6979, time 23.55ms, mfu 27.78%
iter 50: loss 2.6015, time 23.90ms, mfu 27.70%
iter 60: loss 2.5663, time 24.46ms, mfu 27.57%
iter 70: loss 2.5616, time 23.47ms, mfu 27.56%
iter 80: loss 2.5323, time 23.31ms, mfu 27.58%
iter 90: loss 2.5479, time 24.72ms, mfu 27.43%
iter 100: loss 2.5001, time 23.34ms, mfu 27.45%
iter 110: loss 2.5028, time 23.61ms, mfu 27.44%
iter 120: loss 2.4662, time 23.38ms, mfu 27.46%
iter 130: loss 2.4926, time 23.95ms, mfu 27.41%
iter 140: loss 2.4784, time 23.43ms, mfu 27.42%
iter 150: loss 2.4962, time 23.41ms, mfu 27.44%
iter 160: loss 2.4776, time 24.16ms, mfu 27.36%
iter 170: loss 2.4385, time 23.51ms, mfu 27.37%
iter 180: loss 2.4078, time 23.15ms, mfu 27.42%
iter 190: loss 2.4652, time 24.36ms, mfu 27.33%
iter 200: loss 2.4372, time 23.35ms, mfu 27.36%
iter 210: loss 2.4004, time 23.58ms, mfu 27.36%
iter 220: loss 2.4403, time 24.21ms, mfu 27.29%
iter 230: loss 2.4549, time 23.62ms, mfu 27.30%
iter 240: loss 2.4049, time 23.23ms, mfu 27.35%
step 250: train loss 2.3522, val loss 2.3742
saving checkpoint to out-shakespeare-char
iter 250: loss 2.3902, time 1389.64ms, mfu 24.66%
iter 260: loss 2.3826, time 25.07ms, mfu 24.77%
iter 270: loss 2.4028, time 23.19ms, mfu 25.08%
iter 280: loss 2.3822, time 23.14ms, mfu 25.36%
iter 290: loss 2.3300, time 23.21ms, mfu 25.60%
iter 300: loss 2.3336, time 23.83ms, mfu 25.75%
iter 310: loss 2.2774, time 23.39ms, mfu 25.94%
iter 320: loss 2.3256, time 23.64ms, mfu 26.07%
iter 330: loss 2.3181, time 25.06ms, mfu 26.04%
iter 340: loss 2.2752, time 23.34ms, mfu 26.20%
iter 350: loss 2.2385, time 23.69ms, mfu 26.31%
iter 360: loss 2.2390, time 23.63ms, mfu 26.41%
iter 370: loss 2.2590, time 24.49ms, mfu 26.40%
iter 380: loss 2.1672, time 23.50ms, mfu 26.51%
iter 390: loss 2.2118, time 23.18ms, mfu 26.64%
iter 400: loss 2.2756, time 23.31ms, mfu 26.75%
iter 410: loss 2.1976, time 23.60ms, mfu 26.81%
iter 420: loss 2.2085, time 23.39ms, mfu 26.89%
iter 430: loss 2.1345, time 23.50ms, mfu 26.95%
iter 440: loss 2.1783, time 22.77ms, mfu 27.09%
iter 450: loss 2.0962, time 23.62ms, mfu 27.11%
iter 460: loss 2.0910, time 23.52ms, mfu 27.14%
iter 470: loss 2.1511, time 23.59ms, mfu 27.17%
iter 480: loss 2.0830, time 23.77ms, mfu 27.17%
iter 490: loss 2.0541, time 23.14ms, mfu 27.24%
step 500: train loss 1.9965, val loss 2.0700
saving checkpoint to out-shakespeare-char
iter 500: loss 2.1026, time 1432.14ms, mfu 24.56%
iter 510: loss 2.0723, time 23.50ms, mfu 24.85%
iter 520: loss 2.0675, time 23.53ms, mfu 25.11%
iter 530: loss 2.0953, time 23.40ms, mfu 25.36%
iter 540: loss 2.0447, time 24.08ms, mfu 25.50%
iter 550: loss 1.9798, time 24.58ms, mfu 25.58%
iter 560: loss 2.0492, time 23.70ms, mfu 25.74%
iter 570: loss 1.9763, time 24.41ms, mfu 25.82%
iter 580: loss 2.0128, time 23.28ms, mfu 26.01%
iter 590: loss 2.0447, time 23.65ms, mfu 26.14%
iter 600: loss 2.0021, time 23.31ms, mfu 26.29%
iter 610: loss 1.9937, time 25.83ms, mfu 26.16%
iter 620: loss 1.9559, time 23.72ms, mfu 26.27%
iter 630: loss 2.0034, time 23.76ms, mfu 26.36%
iter 640: loss 1.9681, time 24.23ms, mfu 26.38%
iter 650: loss 1.9179, time 23.76ms, mfu 26.46%
iter 660: loss 1.9109, time 23.12ms, mfu 26.61%
iter 670: loss 1.9242, time 23.29ms, mfu 26.72%
iter 680: loss 1.9392, time 23.56ms, mfu 26.79%
iter 690: loss 1.9175, time 23.33ms, mfu 26.87%
iter 700: loss 1.9235, time 23.25ms, mfu 26.96%
iter 710: loss 1.8849, time 23.63ms, mfu 27.00%
iter 720: loss 1.8915, time 24.05ms, mfu 26.98%
iter 730: loss 1.8926, time 23.13ms, mfu 27.07%
